Timestamp,What is your age?,What is your gender?,Where do you study?,How many students are there in your class?,Physical,Verbal,Cyber,Racial,Social,Classroom,Restroom,Hallway,School/College Bus,Gym/Sportsroom,Social Media,Home,Neighbourhood,Best Friends,Friends (Male),Friends (Female),Teachers,Parents,Relatives,Neighbours,Weight,Height,Skin Color,Have you ever carried a weapon to school?,Have you ever hit or pushed someone?,Have you ever insulted or threatened someone online?,Have you ever played a prank which upset someone?,How often do you miss school because you feel unsafe or uncomfortable,How often do you miss school for no good reason?,How often do you indulge in these activities?,"How often do you try to obtain money/possessions, other than the ones provided by your parent/guardian?","How often have you had your property stolen, or deliberately damaged?",How often have you stolen or deliberately damaged someone's property?,How often are you involved in a physical fight?,How often do you experience depression?,How often do you experience suicidal thoughts?,Outcome
11-25-2019 23:14:51,21,Male,College/University,48,4,6,2,4,1,8,6,10,8,9,5,7,7,8,8,5,7,9,4,4,4,9,6,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:18:25,17,Male,High School (Grade 9 - Grade 12),35,4,8,1,1,1,8,6,4,10,10,10,10,5,10,10,5,8,9,6,5,8,5,10,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Regularly (1 or 2 times a week),Never,Never,Never,Never,Sometimes (1 or 2 times a month),Never,Never,Not a bully
11-25-2019 23:19:58,19,Male,College/University,60,7,2,1,1,4,6,9,7,6,7,8,10,4,9,8,5,7,8,6,3,9,10,9,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Not a bully
11-25-2019 23:20:29,19,Male,College/University,N/A,1,5,1,1,1,1,8,3,1,5,10,10,2,10,5,3,1,10,4,1,2,4,5,Never,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:20:36,19,Male,College/University,N/A,1,5,1,1,1,1,8,3,1,5,10,10,2,10,5,3,1,10,4,1,2,4,5,Never,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:23:51,16,Male,High School (Grade 9 - Grade 12),N/A,1,3,1,1,1,4,3,4,4,4,5,2,3,3,3,4,5,1,1,1,6,3,10,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Every day,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Every day,Every day,Not a bully
11-25-2019 23:24:12,16,Female,High School (Grade 9 - Grade 12),44,3,5,1,1,1,7,5,9,10,8,5,10,9,7,5,7,4,3,1,4,2,5,1,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:25:41,20,Female,College/University,N/A,1,3,1,2,1,1,9,3,2,1,10,10,1,7,1,5,2,6,1,1,4,8,6,Never,Never,Never,Never,Regularly (1 or 2 times a week),Never,Never,Never,Sometimes (1 or 2 times a month),Never,Never,Regularly (1 or 2 times a week),Sometimes (1 or 2 times a month),Not a bully
11-25-2019 23:26:07,17,Male,College/University,96,3,3,1,1,1,8,6,7,8,5,8,10,10,10,10,6,6,6,6,5,3,3,8,Never,Never,Never,Never,Never,Regularly (1 or 2 times a week),Sometimes ( 1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:26:46,22,Male,College/University,30,9,8,9,4,8,10,7,9,5,7,10,10,4,10,10,8,3,9,2,5,10,10,10,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes ( 1 or 2 times a month),Regularly (1 or 2 times a week),Regularly (1 or 2 times a week),Regularly (1 or 2 times a week),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Never,Not a bully
11-25-2019 23:28:14,19,Male,College/University,80,5,8,2,1,1,9,8,6,8,2,1,8,4,10,10,9,7,8,5,4,6,8,8,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Sometimes (1 or 2 times a month),Never,Never,Not a bully
11-25-2019 23:31:26,19,Male,College/University,N/A,1,5,1,1,1,6,8,7,8,9,9,10,1,10,6,6,3,6,1,1,6,10,10,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Never,Never,Regularly (1 or 2 times a week),Not a bully
11-25-2019 23:37:15,22,Male,College/University,36,1,2,2,1,1,9,10,9,8,10,10,10,10,10,8,8,9,10,7,6,10,10,10,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Not a bully
11-25-2019 23:37:26,21,Male,College/University,115,1,5,1,2,6,7,7,7,9,6,10,10,10,10,10,10,6,6,2,2,8,8,4,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Regularly (1 or 2 times a week),Never,Not a bully
11-25-2019 23:37:34,19,Male,College/University,60,1,4,1,1,1,10,10,10,10,10,9,10,10,10,10,10,10,10,8,9,4,8,10,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Not a bully
11-25-2019 23:41:03,16,Male,High School (Grade 9 - Grade 12),30,1,6,1,1,8,1,4,6,5,5,3,4,4,7,1,7,7,4,3,3,1,10,10,Never,Never,N/A,Never,Never,N/A,Never,Sometimes ( 1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Never,Regularly (1 or 2 times a week),Never,Not a bully
11-25-2019 23:41:41,20,Male,College/University,49,1,2,1,1,1,5,10,4,3,6,6,10,4,10,10,10,6,9,1,4,8,7,6,Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a bully
11-25-2019 23:43:38,16,Male,High School (Grade 9 - Grade 12),17,5,8,1,1,1,10,10,10,7,10,10,10,10,10,10,7,8,10,6,7,6,10,10,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Never,Never,Not a bully
11-25-2019 23:43:51,21,Male,College/University,78,1,7,6,7,6,4,8,6,4,8,8,10,6,10,7,7,5,3,2,1,7,8,4,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Possible Bully
11-25-2019 23:43:58,19,Male,College/University,60,10,10,8,10,2,10,10,10,10,1,10,10,10,10,10,1,1,4,5,6,1,10,1,Sometimes ( 1 or 2 times a month),Regularly (1 or 2 times a week),Sometimes ( 1 or 2 times a month),Regularly (1 or 2 times a week),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Every day,Never,Every day,Every day,Possible Bully
11-25-2019 23:45:29,20,Female,College/University,N/A,1,4,1,1,1,5,6,9,4,1,4,7,3,10,8,8,5,8,5,3,10,8,7,Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Regularly (1 or 2 times a week),Regularly (1 or 2 times a week),Sometimes ( 1 or 2 times a month),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Regularly (1 or 2 times a week),Never,Not a bully
11-25-2019 23:52:23,16,Male,High School (Grade 9 - Grade 12),36,3,10,4,1,1,3,1,1,4,1,10,10,1,3,5,7,1,6,2,1,3,6,10,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Every day,Never,Not a bully
11-25-2019 23:52:37,14,Female,High School (Grade 9 - Grade 12),53,1,5,1,1,1,7,8,3,5,3,10,10,5,10,5,8,7,10,9,4,2,10,7,Never,Never,Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Never,Never,Never,Never,Never,Sometimes (1 or 2 times a month),Not a bully
11-25-2019 23:57:22,19,Male,College/University,N/A,3,4,1,1,1,7,9,5,5,4,5,9,8,9,9,10,6,7,4,4,6,6,6,Never,Sometimes ( 1 or 2 times a month),Never,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Regularly (1 or 2 times a week),Regularly (1 or 2 times a week),Not a bully
11-26-2019 0:07:17,17,Male,High School (Grade 9 - Grade 12),70,4,6,2,1,2,7,8,9,9,9,9,10,10,10,10,10,8,9,7,9,7,9,9,Never,Sometimes ( 1 or 2 times a month),Never,Regularly (1 or 2 times a week),Never,Regularly (1 or 2 times a week),Never,Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Not a bully
11-26-2019 0:07:28,17,Male,High School (Grade 9 - Grade 12),70,4,6,2,1,2,7,8,9,9,9,9,10,10,10,10,10,8,9,7,9,7,9,9,Never,Sometimes ( 1 or 2 times a month),Never,Regularly (1 or 2 times a week),Never,Regularly (1 or 2 times a week),Never,Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Sometimes (1 or 2 times a month),Not a bully
11-26-2019 0:13:27,17,Female,High School (Grade 9 - Grade 12),N/A,1,1,1,1,1,7,5,7,9,6,9,10,8,10,9,9,7,9,8,7,6,7,8,Never,Never,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Never,Regularly (1 or 2 times a week),Sometimes (1 or 2 times a month),Not a bully
11-26-2019 0:15:59,21,Male,College/University,80,1,6,1,1,5,10,7,9,10,10,6,3,1,10,8,10,7,5,1,1,5,5,9,Never,Never,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Never,Sometimes ( 1 or 2 times a month),Regularly (1 or 2 times a week),Sometimes (1 or 2 times a month),Sometimes (1 or 2 times a month),Never,Never,Never,Not a bully
11-26-2019 0:16:47,19,Male,College/University,60,1,2,1,1,2,8,8,7,7,9,10,10,7,9,9,8,8,10,10,8,5,5,4,Never,Never,Never,Never,Never,Sometimes ( 1 or 2 times a month),Never,Regularly (1 or 2 times a week),Sometimes (1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Not a bully
11-26-2019 0:17:56,17,Female,College/University,N/A,4,4,2,1,1,5,5,7,6,8,7,10,6,9,7,9,8,6,5,6,5,8,7,Sometimes ( 1 or 2 times a month),Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Sometimes ( 1 or 2 times a month),Never,Never,Sometimes (1 or 2 times a month),Never,Never,Regularly (1 or 2 times a week),Every day,Not a bully
