Label1,,Label2,,Label3,,Label4,,,,Combined(2+3+4),,Label1,,FINAL,
Outcome,Score,Outcome,Score,Outcome,Score,Outcome,Score,,,Outcome,Score,Outcome,Score,Final Outcome,Final Score
Not a bully,0.14,Possible Victim,0.6875,Not a victim,0.714285714,Not a victim,0.766666667,,,Possible Victim,0.72281746,Not a bully,0.14,Not a bully,
Not a bully,0.1,Possible Victim,0.575,Not a victim,0.714285714,Not a victim,0.833333333,,,Possible Victim,0.707539682,Not a bully,0.1,Not a bully,
Possible Bully,0.56,Not a victim,0.7625,Not a victim,0.8,Possible Victim,0.566666667,,,Possible Victim,0.709722222,Possible Bully,0.56,Possible Bully,
Not a bully,0.14,Not a victim,0.9125,Not a victim,0.928571429,Not a victim,0.766666667,,,Not a victim,0.869246032,Not a bully,0.14,Not a bully,
Possible Bully,0.56,Not a victim,0.7,Possible Victim,0.585714286,Not a victim,0.866666667,,,Possible Victim,0.717460318,Possible Bully,0.56,Possible Bully,
Not a bully,0.1,Possible Victim,0.6125,Not a victim,0.814285714,Possible Victim,0.566666667,,,Possible Victim,0.664484127,Not a bully,0.1,Not a bully,
Not a bully,0.28,Not a victim,0.9625,Not a victim,0.871428571,Not a victim,0.8,,,Not a victim,0.87797619,Not a bully,0.28,Not a bully,
Not a bully,0.1,Possible Victim,0.5875,Possible Victim,0.628571429,Not a victim,0.733333333,,,Possible Victim,0.649801587,Not a bully,0.1,Not a bully,
Not a bully,0.1,Possible Victim,0.6,Possible Victim,0.6,Not a victim,0.8,,,Possible Victim,0.666666667,Not a bully,0.1,Not a bully,
Not a bully,0.1,Not a victim,0.9125,Not a victim,0.914285714,Not a victim,1,,,Not a victim,0.942261905,Not a bully,0.1,Not a bully,
Not a bully,0.14,Possible Victim,0.425,Possible Victim,0.514285714,Not a victim,0.7,,,Possible Victim,0.546428571,Not a bully,0.14,Not a bully,
Not a bully,0.28,Not a victim,0.8125,Not a victim,0.785714286,Possible Victim,0.5,,,Possible Victim,0.699404762,Not a bully,0.28,Not a bully,
Not a bully,0.1,Not a victim,0.925,Not a victim,0.771428571,Not a victim,0.7,,,Not a victim,0.798809524,Not a bully,0.1,Not a bully,
Not a bully,0.2,Possible Victim,0.675,Possible Victim,0.657142857,Possible Victim,0.566666667,,,Possible Victim,0.632936508,Not a bully,0.2,Not a bully,
Possible Bully,0.44,Possible Victim,0.65,Not a victim,0.785714286,Not a victim,0.933333333,,,Not a victim,0.78968254,Possible Bully,0.44,Not a bully,
Not a bully,0.1,Not a victim,0.825,Not a victim,0.914285714,Not a victim,0.8,,,Not a victim,0.846428571,Not a bully,0.1,Not a bully,
Not a bully,0.22,Possible Victim,0.6875,Not a victim,0.742857143,Not a victim,0.833333333,,,Not a victim,0.754563492,Not a bully,0.22,Not a bully,
Not a bully,0.14,Not a victim,0.925,Not a victim,0.928571429,Not a victim,1,,,Not a victim,0.951190476,Not a bully,0.14,Not a bully,
Not a bully,0.36,Not a victim,0.85,Possible Victim,0.671428571,Possible Victim,0.533333333,,,Possible Victim,0.684920635,Not a bully,0.36,Not a bully,
Not a bully,0.36,Possible Victim,0.6875,Possible Victim,0.628571429,Possible Victim,0.566666667,,,Possible Victim,0.627579365,Not a bully,0.36,Not a bully,
Not a bully,0.24,Not a victim,0.8125,Not a victim,0.914285714,Not a victim,0.7,,,Not a victim,0.808928571,Not a bully,0.24,Not a bully,
Not a bully,0.32,Not a victim,0.875,Not a victim,0.814285714,Possible Victim,0.466666667,,,Possible Victim,0.718650794,Not a bully,0.32,Not a bully,
Possible Bully,0.56,Not a victim,0.825,Not a victim,0.785714286,Not a victim,0.833333333,,,Not a victim,0.81468254,Possible Bully,0.56,Not a bully,
Not a bully,0.24,Not a victim,0.8125,Not a victim,0.842857143,Not a victim,0.7,,,Not a victim,0.785119048,Not a bully,0.24,Not a bully,
Possible Bully,0.5,Possible Victim,0.525,Possible Victim,0.528571429,Possible Victim,0.5,,,Possible Victim,0.517857143,Possible Bully,0.5,Possible Bully,
Possible Bully,0.9,Possible Victim,0.525,Possible Victim,0.614285714,Not a victim,0.733333333,,,Possible Victim,0.624206349,Possible Bully,0.9,Possible Bully,
Not a bully,0.3,Not a victim,0.825,Possible Victim,0.614285714,Possible Victim,0.666666667,,,Possible Victim,0.701984127,Not a bully,0.3,Not a bully,
Not a bully,0.26,Not a victim,0.8375,Not a victim,0.842857143,Not a victim,0.733333333,,,Not a victim,0.804563492,Not a bully,0.26,Not a bully,
Not a bully,0.3,Not a victim,0.9,Not a victim,0.842857143,Not a victim,0.833333333,,,Not a victim,0.858730159,Not a bully,0.3,Not a bully,
Not a bully,0.26,Not a victim,0.8375,Not a victim,0.842857143,Not a victim,0.733333333,,,Not a victim,0.804563492,Not a bully,0.26,Not a bully,
Not a bully,0.36,Not a victim,0.875,Not a victim,0.857142857,Possible Victim,0.633333333,,,Not a victim,0.788492063,Not a bully,0.36,Not a bully,
